year,STABBR,average_admission_rates
2010-11,Missouri,0.6781553846153846
2010-11,Mississippi,0.5541722222222222
2010-11,Montana,0.8060555555555555
2010-11,North Carolina,0.5993708333333333
2010-11,North Dakota,0.823975
2010-11,Nebraska,0.6795526315789474
2010-11,New Hampshire,0.6973666666666667
2010-11,New Jersey,0.6628565217391305
2010-11,New Mexico,0.6591333333333333
2010-11,Nevada,0.7342454545454545
2010-11,New York,0.632904
2010-11,Ohio,0.6844990099009901
2010-11,Oklahoma,0.6877529411764706
2010-11,Oregon,0.7414485714285715
2010-11,Pennsylvania,0.643394578313253
2010-11,Rhode Island,0.6157888888888889
2010-11,South Carolina,0.6556022727272727
2010-11,South Dakota,0.8183692307692307
2010-11,Tennessee,0.6664522388059702
2010-11,Texas,0.6309622448979592
2010-11,Utah,0.7616866666666666
2010-11,Virginia,0.620968253968254
2010-11,Vermont,0.7502777777777778
2010-11,Washington,0.6740870967741935
2010-11,Wisconsin,0.7637
2010-11,West Virginia,0.647132
2010-11,Wyoming,0.959
2011-12,Alaska,0.34575
2011-12,Alabama,0.694635294117647
2011-12,Arkansas,0.6810541666666666
2011-12,Arizona,0.7724272727272727
2011-12,California,0.6593984293193718
2011-12,Colorado,0.71775
2011-12,Connecticut,0.63761
2011-12,Delaware,0.52222
2011-12,Florida,0.658767415730337
2011-12,Georgia,0.6442323076923077
2011-12,Hawaii,0.69908
2011-12,Iowa,0.6582486486486486
2011-12,Idaho,0.8225333333333333
2011-12,Illinois,0.6606576470588236
2011-12,Indiana,0.7149969696969697
2011-12,Kansas,0.7538321428571428
2011-12,Kentucky,0.6637545454545455
2011-12,Louisiana,0.6375645161290323
2011-12,Massachusetts,0.5816011904761905
2011-12,Maryland,0.636915625
2011-12,Maine,0.6805238095238095
2011-12,Michigan,0.6872107142857142
2011-12,Minnesota,0.7073377777777777
2011-12,Missouri,0.698865625
2011-12,Mississippi,0.5564388888888889
2011-12,Montana,0.7871666666666667
2011-12,North Carolina,0.6036970588235294
2011-12,North Dakota,0.732625
2011-12,Nebraska,0.65071
2011-12,New Hampshire,0.6956384615384615
2011-12,New Jersey,0.7022134615384615
2011-12,New Mexico,0.7444777777777778
2011-12,Nevada,0.8052545454545454
2011-12,New York,0.6315635071090048
2011-12,Ohio,0.7231852941176471
2011-12,Oklahoma,0.7066133333333333
2011-12,Oregon,0.7111470588235295
2011-12,Pennsylvania,0.6773859550561798
2011-12,Rhode Island,0.65192
2011-12,South Carolina,0.6650744186046512
2011-12,South Dakota,0.8177666666666666
2011-12,Tennessee,0.6851306451612903
2011-12,Texas,0.6568028037383178
2011-12,Utah,0.7630272727272728
2011-12,Virginia,0.6564075757575758
2011-12,Vermont,0.7732
2011-12,Washington,0.7253277777777778
2011-12,Wisconsin,0.7661291666666666
2011-12,West Virginia,0.641725
2011-12,Wyoming,0.9539
2012-13,Alaska,0.6033999999999999
2012-13,Alabama,0.7034617647058824
2012-13,Arkansas,0.6910318181818181
2012-13,Arizona,0.8192954545454545
2012-13,California,0.6926079365079365
2012-13,Colorado,0.74926
2012-13,Connecticut,0.5749571428571428
2012-13,Delaware,0.55918
2012-13,Florida,0.6485404761904762
2012-13,Georgia,0.6260149253731343
2012-13,Hawaii,0.68961
2012-13,Iowa,0.66475
2012-13,Idaho,0.82546
2012-13,Illinois,0.6622
2012-13,Indiana,0.7057701754385965
2012-13,Kansas,0.7454821428571429
2012-13,Kentucky,0.6685125
2012-13,Louisiana,0.6388032258064517
2012-13,Massachusetts,0.5803494117647059
2012-13,Maryland,0.62479375
2012-13,Maine,0.6415047619047619
2012-13,Michigan,0.7162137931034482
2012-13,Minnesota,0.7072372093023256
2012-13,Missouri,0.6798112903225807
2012-13,Mississippi,0.521325
2012-13,Montana,0.8014444444444444
2012-13,North Carolina,0.6030955882352941
2012-13,North Dakota,0.7164625
2012-13,Nebraska,0.707345
2012-13,New Hampshire,0.6909307692307692
2012-13,New Jersey,0.6542730769230769
2012-13,New Mexico,0.7570666666666667
2012-13,Nevada,0.82727
2012-13,New York,0.6357099526066351
2012-13,Ohio,0.7049505154639175
2012-13,Oklahoma,0.6999793103448276
2012-13,Oregon,0.7264969696969696
2012-13,Pennsylvania,0.6583885057471265
2012-13,Rhode Island,0.64002
2012-13,South Carolina,0.6911697674418604
2012-13,South Dakota,0.7900666666666667
2012-13,Tennessee,0.6565016949152542
2012-13,Texas,0.6992833333333334
2012-13,Utah,0.7122777777777778
2012-13,Virginia,0.6587378787878788
2012-13,Vermont,0.7777611111111111
2012-13,Washington,0.7109967741935483
2012-13,Wisconsin,0.76202
2012-13,West Virginia,0.6097333333333333
2012-13,Wyoming,0.9601
2013-14,Alaska,0.43165
2013-14,Alabama,0.7190516129032258
2013-14,Arkansas,0.6596727272727273
2013-14,Arizona,0.8204636363636364
2013-14,California,0.6863624242424242
2013-14,Colorado,0.7439142857142858
2013-14,Connecticut,0.5932464285714286
2013-14,Delaware,0.55842
2013-14,Florida,0.645989156626506
2013-14,Georgia,0.6112583333333333
2013-14,Hawaii,0.7454444444444445
2013-14,Iowa,0.6811416666666666
2013-14,Idaho,0.85146
2013-14,Illinois,0.6681512195121951
2013-14,Indiana,0.704440350877193
2013-14,Kansas,0.7136185185185185
2013-14,Kentucky,0.6949272727272727
2013-14,Louisiana,0.6652333333333333
2013-14,Massachusetts,0.60376
2013-14,Maryland,0.6269225806451613
2013-14,Maine,0.671947619047619
2013-14,Michigan,0.7213357142857143
2013-14,Minnesota,0.6826452380952381
2013-14,Missouri,0.7118372881355932
2013-14,Mississippi,0.5969117647058824
2013-14,Montana,0.8042444444444444
2013-14,North Carolina,0.5975420289855072
2013-14,North Dakota,0.707225
2013-14,Nebraska,0.636355
2013-14,New Hampshire,0.6917923076923077
2013-14,New Jersey,0.7091415094339623
2013-14,New Mexico,0.7496
2013-14,Nevada,0.89149
2013-14,New York,0.662164423076923
2013-14,Ohio,0.7024225806451613
2013-14,Oklahoma,0.6913862068965517
2013-14,Oregon,0.6923625
2013-14,Pennsylvania,0.6966445086705202
2013-14,Rhode Island,0.6679545454545455
2013-14,South Carolina,0.6841190476190476
2013-14,South Dakota,0.8228181818181818
2013-14,Tennessee,0.6916859649122807
2013-14,Texas,0.7032990196078431
2013-14,Utah,0.7662444444444444
2013-14,Virginia,0.6791677419354839
2013-14,Vermont,0.7901055555555555
2013-14,Washington,0.7985774193548387
2013-14,Wisconsin,0.7552468085106383
2013-14,West Virginia,0.6286625
2013-14,Wyoming,0.9569
2014-15,Alaska,0.4207
2014-15,Alabama,0.7086806451612904
2014-15,Arkansas,0.7059818181818182
2014-15,Arizona,0.8037375
2014-15,California,0.6860324840764331
2014-15,Colorado,0.7581571428571429
2014-15,Connecticut,0.5622666666666667
2014-15,Delaware,0.5354
2014-15,Florida,0.6239298701298701
2014-15,Georgia,0.6366745762711864
2014-15,Hawaii,0.7143111111111111
2014-15,Iowa,0.6773324324324325
2014-15,Idaho,0.7902399999999999
2014-15,Illinois,0.6837246913580247
2014-15,Indiana,0.7152793103448276
2014-15,Kansas,0.7369586206896552
2014-15,Kentucky,0.7059266666666667
2014-15,Louisiana,0.6839241379310345
2014-15,Massachusetts,0.6275356321839081
2014-15,Maryland,0.642615625
2014-15,Maine,0.6694058823529412
2014-15,Michigan,0.7049245283018868
2014-15,Minnesota,0.7097146341463415
2014-15,Missouri,0.7183111111111111
2014-15,Mississippi,0.68655625
2014-15,Montana,0.8262666666666667
2014-15,North Carolina,0.6253128571428571
2014-15,North Dakota,0.696475
2014-15,Nebraska,0.677355
2014-15,New Hampshire,0.7483785714285714
2014-15,New Jersey,0.7077557692307692
2014-15,New Mexico,0.71091
2014-15,Nevada,0.8503000000000001
2014-15,New York,0.6659586854460094
2014-15,Ohio,0.7321129032258065
2014-15,Oklahoma,0.6856344827586207
2014-15,Oregon,0.7559741935483871
2014-15,Pennsylvania,0.7157953216374269
2014-15,Rhode Island,0.6557909090909091
2014-15,South Carolina,0.6608170731707317
2014-15,South Dakota,0.8102818181818182
2014-15,Tennessee,0.6836641509433963
2014-15,Texas,0.7014274509803922
2014-15,Utah,0.7762181818181818
2014-15,Virginia,0.6528418181818182
2014-15,Vermont,0.7833277777777777
2014-15,Washington,0.8002935483870968
2014-15,Wisconsin,0.7830239130434783
2014-15,West Virginia,0.6677434782608695
2014-15,Wyoming,0.9766
2015-16,Alaska,0.5788
2015-16,Alabama,0.671275
2015-16,Arkansas,0.6951772727272727
2015-16,Arizona,0.7306173913043478
2015-16,California,0.6311541935483871
2015-16,Colorado,0.7432666666666666
2015-16,Connecticut,0.5778826086956522
2015-16,Delaware,0.5839799999999999
2015-16,Florida,0.6439397260273972
2015-16,Georgia,0.6412833333333333
2015-16,Hawaii,0.7322777777777778
2015-16,Iowa,0.6816702702702703
2015-16,Idaho,0.7942454545454546
2015-16,Illinois,0.6656253164556962
2015-16,Indiana,0.7186518518518519
2015-16,Kansas,0.7345555555555555
2015-16,Kentucky,0.6955193548387096
2015-16,Louisiana,0.6909333333333333
2015-16,Massachusetts,0.638529761904762
2015-16,Maryland,0.6209766666666666
2015-16,Maine,0.6962777777777778
2015-16,Michigan,0.7272181818181818
2015-16,Minnesota,0.6740452380952381
2015-16,Missouri,0.70595
2015-16,Mississippi,0.7031875
2015-16,Montana,0.8266111111111111
2015-16,North Carolina,0.6264
2015-16,North Dakota,0.768525
2015-16,Nebraska,0.72035
2015-16,New Hampshire,0.7585428571428572
2015-16,New Jersey,0.6843622641509434
2015-16,New Mexico,0.6266
2015-16,Nevada,0.7806181818181819
2015-16,New York,0.6593682242990654
2015-16,Ohio,0.72598064516129035
2015-16,Oklahoma,0.6713964285714286
2015-16,Oregon,0.757178125
2015-16,Pennsylvania,0.7167305882352941
2015-16,Rhode Island,0.6568666666666667
2015-16,South Carolina,0.6701
2015-16,South Dakota,0.7757272727272727
2015-16,Tennessee,0.7005627450980392
2015-16,Texas,0.685222
2015-16,Utah,0.82653
2015-16,Virginia,0.6843350877192983
2015-16,Vermont,0.7348941176470588
2015-16,Washington,0.7710344827586207
2015-16,Wisconsin,0.7652522727272727
2015-16,West Virginia,0.721925
2015-16,Wyoming,0.9566
2016-17,Alaska,0.65085
2016-17,Alabama,0.6388533333333334
2016-17,Arkansas,0.6972315789473684
2016-17,Arizona,0.6761105263157895
2016-17,California,0.6119260563380282
2016-17,Colorado,0.721004
2016-17,Connecticut,0.5535833333333333
2016-17,Delaware,0.61966
2016-17,Florida,0.6338181818181818
2016-17,Georgia,0.6286303571428572
2016-17,Hawaii,0.71435
2016-17,Iowa,0.6522787878787879
2016-17,Idaho,0.8643111111111111
2016-17,Illinois,0.6741907894736842
2016-17,Indiana,0.7366791666666667
2016-17,Kansas,0.687416
2016-17,Kentucky,0.7155310344827587
2016-17,Louisiana,0.623144
2016-17,Massachusetts,0.6224301204819277
2016-17,Maryland,0.5749
2016-17,Maine,0.6784058823529412
2016-17,Michigan,0.6919895833333334
2016-17,Minnesota,0.672828947368421
2016-17,Missouri,0.6830290322580646
2016-17,Mississippi,0.67084
2016-17,Montana,0.7984125
2016-17,North Carolina,0.6152046875
2016-17,North Dakota,0.7500111111111111
2016-17,Nebraska,0.6894750000000001
2016-17,New Hampshire,0.7623714285714286
2016-17,New Jersey,0.6470576923076923
2016-17,New Mexico,0.60279
2016-17,Nevada,0.74636
2016-17,New York,0.647512380952381
2016-17,Ohio,0.7261860465116279
2016-17,Oklahoma,0.6402391304347826
2016-17,Oregon,0.7728966666666667
2016-17,Pennsylvania,0.7159
2016-17,Rhode Island,0.649825
2016-17,South Carolina,0.6461058823529412
2016-17,South Dakota,0.8215181818181818
2016-17,Tennessee,0.6893066666666666
2016-17,Texas,0.649289156626506
2016-17,Utah,0.6688
2016-17,Virginia,0.6592058823529412
2016-17,Vermont,0.7005764705882352
2016-17,Washington,0.772625
2016-17,Wisconsin,0.7283926829268292
2016-17,West Virginia,0.7382909090909091
2016-17,Wyoming,0.9508
2017-18,Alaska,0.79145
2017-18,Alabama,0.6799814814814815
2017-18,Arkansas,0.7207052631578947
2017-18,Arizona,0.7426111111111111
2017-18,California,0.6165931506849315
2017-18,Colorado,0.7430875
2017-18,Connecticut,0.6472730769230769
2017-18,Delaware,0.6007
2017-18,Florida,0.6646632352941176
2017-18,Georgia,0.6106907407407407
2017-18,Hawaii,0.7504500000000001
2017-18,Iowa,0.6843125
2017-18,Idaho,0.806375
2017-18,Illinois,0.662745205479452
2017-18,Indiana,0.7463191489361702
2017-18,Kansas,0.7074769230769231
2017-18,Kentucky,0.7137310344827587
2017-18,Louisiana,0.5976230769230769
2017-18,Massachusetts,0.6261349397590361
2017-18,Maryland,0.6324178571428571
2017-18,Maine,0.7095375
2017-18,Michigan,0.6762276595744681
2017-18,Minnesota,0.6585972972972973
2017-18,Missouri,0.7234424242424242
2017-18,Mississippi,0.7369375
2017-18,Montana,0.8082222222222222
2017-18,North Carolina,0.62591875
2017-18,North Dakota,0.7237444444444444
2017-18,Nebraska,0.6268368421052631
2017-18,New Hampshire,0.7958266666666667
2017-18,New Jersey,0.7163921568627452
2017-18,New Mexico,0.5418777777777778
2017-18,Nevada,0.77862
2017-18,New York,0.6715104761904762
2017-18,Ohio,0.7115488636363636
2017-18,Oklahoma,0.7261173913043478
2017-18,Oregon,0.7613586206896552
2017-18,Pennsylvania,0.7272521472392638
2017-18,Rhode Island,0.6313166666666666
2017-18,South Carolina,0.6298735294117647
2017-18,South Dakota,0.8358727272727273
2017-18,Tennessee,0.6872266666666667
2017-18,Texas,0.6520759036144579
2017-18,Utah,0.7328111111111111
2017-18,Virginia,0.6427470588235294
2017-18,Vermont,0.7450823529411765
2017-18,Washington,0.7820708333333334
2017-18,Wisconsin,0.7039068181818182
2017-18,West Virginia,0.7100318181818182
2017-18,Wyoming,0.9682
2018-19,Alaska,0.7621
2018-19,Alabama,0.6807038461538462
2018-19,Arkansas,0.7033789473684211
2018-19,Arizona,0.800664705882353
2018-19,California,0.6229006944444444
2018-19,Colorado,0.7274153846153846
2018-19,Connecticut,0.6146541666666667
2018-19,Delaware,0.61334
2018-19,Florida,0.651934375
2018-19,Georgia,0.6548259259259259
2018-19,Hawaii,0.781325
2018-19,Iowa,0.73155
2018-19,Idaho,0.8461666666666666
2018-19,Illinois,0.6498971014492754
2018-19,Indiana,0.7355244897959183
2018-19,Kansas,0.6860346153846154
2018-19,Kentucky,0.699223076923077
2018-19,Louisiana,0.6727296296296297
2018-19,Massachusetts,0.60183375
2018-19,Maryland,0.6340586206896551
2018-19,Maine,0.6460882352941176
2018-19,Michigan,0.7043979166666666
2018-19,Minnesota,0.6849864864864865
2018-19,Missouri,0.7067153846153846
2018-19,Mississippi,0.7657375
2018-19,Montana,0.7833777777777777
2018-19,North Carolina,0.5995416666666666
2018-19,North Dakota,0.7959222222222222
2018-19,Nebraska,0.6889555555555555
2018-19,New Hampshire,0.6851533333333333
2018-19,New Jersey,0.7237333333333333
2018-19,New Mexico,0.6983222222222222
2018-19,Nevada,0.86427
2018-19,New York,0.6534029411764706
2018-19,Ohio,0.7055543209876544
2018-19,Oklahoma,0.6761272727272727
2018-19,Oregon,0.8039689655172414
2018-19,Pennsylvania,0.7290445121951219
2018-19,Rhode Island,0.60155
2018-19,South Carolina,0.6184909090909091
2018-19,South Dakota,0.8338363636363636
2018-19,Tennessee,0.7190487804878049
2018-19,Texas,0.6803698795180723
2018-19,Utah,0.7744555555555556
2018-19,Virginia,0.6474686274509804
2018-19,Vermont,0.7013875
2018-19,Washington,0.805137037037037
2018-19,Wisconsin,0.7282317073170732
2018-19,West Virginia,0.7106454545454546
2018-19,Wyoming,0.9603
2019-20,Alaska,0.7719
2019-20,Alabama,0.6659481481481482
2019-20,Arkansas,0.68398
2019-20,Arizona,0.7724666666666666
2019-20,California,0.6241246268656716
2019-20,Colorado,0.7351518518518518
2019-20,Connecticut,0.6474916666666667
2019-20,Delaware,0.6762333333333334
2019-20,Florida,0.6673014925373134
2019-20,Georgia,0.6592072727272728
2019-20,Hawaii,0.7102875
2019-20,Iowa,0.692865625
2019-20,Idaho,0.828
2019-20,Illinois,0.6862
2019-20,Indiana,0.719024
2019-20,Kansas,0.688904
2019-20,Kentucky,0.7074107142857143
2019-20,Louisiana,0.6512037037037037
2019-20,Massachusetts,0.5920311688311688
2019-20,Maryland,0.6939551724137931
2019-20,Maine,0.6896888888888889
2019-20,Michigan,0.7276021739130435
2019-20,Minnesota,0.6995868421052631
2019-20,Missouri,0.6950322580645162
2019-20,Mississippi,0.7202375
2019-20,Montana,0.692825
2019-20,North Carolina,0.635016393442623
2019-20,North Dakota,0.8010777777777778
2019-20,Nebraska,0.7244666666666667
2019-20,New Hampshire,0.7984428571428571
2019-20,New Jersey,0.7179894736842105
2019-20,New Mexico,0.665275
2019-20,Nevada,0.8181333333333334
2019-20,New York,0.652845971563981
2019-20,Ohio,0.7082246913580247
2019-20,Oklahoma,0.704105
2019-20,Oregon,0.7885407407407408
2019-20,Pennsylvania,0.7250958904109589
2019-20,Rhode Island,0.6110230769230769
2019-20,South Carolina,0.6644314285714286
2019-20,South Dakota,0.8051636363636364
2019-20,Tennessee,0.72075
2019-20,Texas,0.7058616279069767
2019-20,Utah,0.77665
2019-20,Virginia,0.6752415094339622
2019-20,Vermont,0.7166769230769231
2019-20,Washington,0.8134375
2019-20,Wisconsin,0.7426275
2019-20,West Virginia,0.7194608695652174
2019-20,Wyoming,0.9596
2020-21,Alaska,0.745025
2020-21,Alabama,0.7483384615384615
2020-21,Arkansas,0.7010333333333333
2020-21,Arizona,0.7503411764705882
2020-21,California,0.6440709923664122
2020-21,Colorado,0.749573076923077
2020-21,Connecticut,0.684912
2020-21,Delaware,0.56606
2020-21,Florida,0.7247847222222222
2020-21,Georgia,0.7053716981132075
2020-21,Hawaii,0.7973428571428571
2020-21,Iowa,0.738059375
2020-21,Idaho,0.8130000000000001
2020-21,Illinois,0.6986848484848485
2020-21,Indiana,0.7540270833333333
2020-21,Kansas,0.682148
2020-21,Kentucky,0.7339827586206896
2020-21,Louisiana,0.6961074074074074
2020-21,Massachusetts,0.6287454545454545
2020-21,Maryland,0.7123464285714286
2020-21,Maine,0.7110176470588235
2020-21,Michigan,0.7199208333333333
2020-21,Minnesota,0.7063236842105263
2020-21,Missouri,0.7402120689655173
2020-21,Mississippi,0.7252294117647059
2020-21,Montana,0.8021888888888888
2020-21,North Carolina,0.6577241935483871
2020-21,North Dakota,0.8155666666666667
2020-21,Nebraska,0.68705625
2020-21,New Hampshire,0.7873142857142857
2020-21,New Jersey,0.7614241379310345
2020-21,New Mexico,0.7368142857142858
2020-21,Nevada,0.7956
2020-21,New York,0.6837822115384615
2020-21,Ohio,0.7110303797468355
2020-21,Oklahoma,0.6833210526315789
2020-21,Oregon,0.7917222222222222
2020-21,Pennsylvania,0.7276784722222223
2020-21,Rhode Island,0.6409076923076923
2020-21,South Carolina,0.7093891891891891
2020-21,South Dakota,0.8403363636363637
2020-21,Tennessee,0.71736
2020-21,Texas,0.7226697674418605
2020-21,Utah,0.8667375
2020-21,Virginia,0.701238
2020-21,Vermont,0.7144166666666667
2020-21,Washington,0.8244
2020-21,Wisconsin,0.7920325
2020-21,West Virginia,0.7696260869565218
2020-21,Wyoming,0.9423
2021-22,Alaska,0.71505
2021-22,Alabama,0.7712576923076923
2021-22,Arkansas,0.64088
2021-22,Arizona,0.7906
2021-22,California,0.6573312977099237
2021-22,Colorado,0.7694785714285715
2021-22,Connecticut,0.683372
2021-22,Delaware,0.7301
2021-22,Florida,0.7385712328767123
2021-22,Georgia,0.7048269230769231
2021-22,Hawaii,0.8664333333333334
2021-22,Iowa,0.7870363636363636
2021-22,Idaho,0.8356142857142858
2021-22,Illinois,0.7531848484848485
2021-22,Indiana,0.7909645833333333
2021-22,Kansas,0.758276
2021-22,Kentucky,0.7391730769230769
2021-22,Louisiana,0.7567777777777778
2021-22,Massachusetts,0.6537866666666666
2021-22,Maryland,0.7365551724137931
2021-22,Maine,0.7046941176470588
2021-22,Michigan,0.7578387755102041
2021-22,Minnesota,0.7437918918918919
2021-22,Missouri,0.7288389830508475
2021-22,Mississippi,0.7320625
2021-22,Montana,0.7642625
2021-22,North Carolina,0.6836806451612903
2021-22,North Dakota,0.8512444444444445
2021-22,Nebraska,0.7649875
2021-22,New Hampshire,0.8350461538461539
2021-22,New Jersey,0.7507068965517242
2021-22,New Mexico,0.6959857142857143
2021-22,Nevada,0.8328
2021-22,New York,0.6865859903381643
2021-22,Ohio,0.7330392405063291
2021-22,Oklahoma,0.7160722222222222
2021-22,Oregon,0.7480111111111111
2021-22,Pennsylvania,0.7495559440559441
2021-22,Rhode Island,0.6186916666666666
2021-22,South Carolina,0.7485486486486487
2021-22,South Dakota,0.80415
2021-22,Tennessee,0.7224951219512196
2021-22,Texas,0.761776404494382
2021-22,Utah,0.83641
2021-22,Virginia,0.741442
2021-22,Vermont,0.7085
2021-22,Washington,0.8239869565217391
2021-22,Wisconsin,0.80993
2021-22,West Virginia,0.8476666666666667
2021-22,Wyoming,0.9678
2022-23,Alaska,0.7576333333333334
2022-23,Alabama,0.7590192307692307
2022-23,Arkansas,0.6933894736842106
2022-23,Arizona,0.8367875
2022-23,California,0.6466062015503876
2022-23,Colorado,0.7874807692307693
2022-23,Connecticut,0.6918791666666667
2022-23,Delaware,0.6213
2022-23,Florida,0.6681328571428572
2022-23,Georgia,0.6805377358490566
2022-23,Hawaii,0.7801666666666667
2022-23,Iowa,0.7880933333333333
2022-23,Idaho,0.820975
2022-23,Illinois,0.717323076923077
2022-23,Indiana,0.7848775510204081
2022-23,Kansas,0.753928
2022-23,Kentucky,0.7624884615384615
2022-23,Louisiana,0.7289035714285714
2022-23,Massachusetts,0.6308239999999999
2022-23,Maryland,0.7195821428571428
2022-23,Maine,0.710735294117647
2022-23,Michigan,0.752016
2022-23,Minnesota,0.753245945945946
2022-23,Missouri,0.763125
2022-23,Mississippi,0.737325
2022-23,Montana,0.7760285714285714
2022-23,North Carolina,0.6855166666666667
2022-23,North Dakota,0.7963333333333333
2022-23,Nebraska,0.75755625
2022-23,New Hampshire,0.8442307692307692
2022-23,New Jersey,0.7351677966101695
2022-23,New Mexico,0.6946428571428571
2022-23,Nevada,0.87046
2022-23,New York,0.6994224390243903
2022-23,Ohio,0.7301556962025316
2022-23,Oklahoma,0.6878222222222222
2022-23,Oregon,0.8066037037037037
2022-23,Pennsylvania,0.7529062893081762
2022-23,Rhode Island,0.6546583333333333
2022-23,South Carolina,0.728927027027027
2022-23,South Dakota,0.8186666666666667
2022-23,Tennessee,0.71397
2022-23,Texas,0.7673238636363636
2022-23,Utah,0.8121777777777778
2022-23,Virginia,0.7178843137254902
2022-23,Vermont,0.6398666666666667
2022-23,Washington,0.8171260869565218
2022-23,Wisconsin,0.7767536585365854
2022-23,West Virginia,0.845075
2022-23,Wyoming,0.9598
